,text,hypo,entailment,neutral,contradiction
0,Javier is not a sociologist,Neither Javier nor Meghan is a sociologist,0.08,0.84,0.08
1,Meghan is not a sociologist,Neither Javier nor Meghan is a sociologist,0.07,0.65,0.28
2,Rocco is not an artist,Neither Rocco nor Marie is an artist,0.11,0.78,0.11
3,Marie is not an artist,Neither Rocco nor Marie is an artist,0.13,0.75,0.12
4,Lawrence is not an illustrator,Neither Lawrence nor Tina is an illustrator,0.05,0.88,0.07
5,Tina is not an illustrator,Neither Lawrence nor Tina is an illustrator,0.08,0.74,0.18
6,Martin is not a butcher,Neither Martin nor Joanne is a butcher,0.24,0.69,0.07
7,Joanne is not a butcher,Neither Martin nor Joanne is a butcher,0.05,0.84,0.11
8,Chang Lee is not an employee,Neither Chang Lee nor Priya is an employee,0.14,0.77,0.09
9,Priya is not an employee,Neither Chang Lee nor Priya is an employee,0.05,0.83,0.12
10,Ronnie is not a lawn mower,Neither Ronnie nor Shelly is a lawn mower,0.20,0.73,0.07
11,Shelly is not a lawn mower,Neither Ronnie nor Shelly is a lawn mower,0.06,0.83,0.11
12,Jamie is not a butcher,Neither Jamie nor Kassidy is a butcher,0.15,0.78,0.07
13,Kassidy is not a butcher,Neither Jamie nor Kassidy is a butcher,0.05,0.87,0.09
14,Jason is not a baker,Neither Jason nor Ashley is a baker,0.05,0.91,0.04
15,Ashley is not a baker,Neither Jason nor Ashley is a baker,0.05,0.85,0.10
16,Marty is not an employee,Neither Marty nor Priya is an employee,0.16,0.72,0.11
17,Priya is not an employee,Neither Marty nor Priya is an employee,0.06,0.76,0.19
18,Kirby is not an employment,Neither Kirby nor Cynthia is an employment,0.09,0.83,0.08
19,Cynthia is not an employment,Neither Kirby nor Cynthia is an employment,0.09,0.74,0.17
20,Jeremy is not a guard,Neither Jeremy nor Jacqui is a guard,0.19,0.72,0.09
21,Jacqui is not a guard,Neither Jeremy nor Jacqui is a guard,0.05,0.76,0.19
22,Muhammad is not a manager,Neither Muhammad nor Monique is a manager,0.15,0.72,0.12
23,Monique is not a manager,Neither Muhammad nor Monique is a manager,0.06,0.71,0.23
24,DeAndre is not an architect,Neither DeAndre nor Missy is an architect,0.22,0.71,0.07
25,Missy is not an architect,Neither DeAndre nor Missy is an architect,0.31,0.53,0.16
26,Jim is not an electrician,Neither Jim nor Megan is an electrician,0.07,0.84,0.09
27,Megan is not an electrician,Neither Jim nor Megan is an electrician,0.08,0.74,0.18
28,Cadan is not a lifeguard,Neither Cadan nor Greta is a lifeguard,0.17,0.68,0.15
29,Greta is not a lifeguard,Neither Cadan nor Greta is a lifeguard,0.24,0.62,0.14
30,Jamel is not a cashier,Neither Jamel nor Priya is a cashier,0.18,0.68,0.15
31,Priya is not a cashier,Neither Jamel nor Priya is a cashier,0.22,0.43,0.35
32,Steve is not a postman,Neither Steve nor Mary is a postman,0.05,0.88,0.08
33,Mary is not a postman,Neither Steve nor Mary is a postman,0.07,0.82,0.12
34,Spence is not a security guard,Neither Spence nor Sara is a security guard,0.06,0.88,0.07
35,Sara is not a security guard,Neither Spence nor Sara is a security guard,0.38,0.38,0.24
36,LeShawn is not a guitarist,Neither LeShawn nor Candy is a guitarist,0.05,0.87,0.07
37,Candy is not a guitarist,Neither LeShawn nor Candy is a guitarist,0.22,0.47,0.31
38,Julius is not a guard,Neither Julius nor Greta is a guard,0.16,0.74,0.10
39,Greta is not a guard,Neither Julius nor Greta is a guard,0.08,0.76,0.15
40,Terrance is not a drawer,Neither Terrance nor Lisa is a drawer,0.07,0.78,0.15
