,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
0,Either Carla or Billy is a teacher,Carla is a teacher,0.628,0.313,0.058,entailment,Billy is a teacher,0.720,0.175,0.105,entailment,0.276,Either Billy or Carla is a teacher,Carla is a teacher,0.691,0.236,0.073,entailment,Billy is a teacher,0.576,0.275,0.149,entailment,0.231,0.154,0.287,0.442
1,Either Claire or Brady is a mover,Claire is a mover,0.200,0.685,0.115,neutral,Brady is a mover,0.376,0.544,0.081,neutral,0.351,Either Brady or Claire is a mover,Claire is a mover,0.227,0.640,0.133,neutral,Brady is a mover,0.379,0.535,0.086,neutral,0.304,0.090,0.017,0.108
2,Either Ebony or Andrew is a receptionist,Ebony is a receptionist,0.817,0.127,0.057,entailment,Andrew is a receptionist,0.903,0.056,0.041,entailment,0.174,Either Andrew or Ebony is a receptionist,Ebony is a receptionist,0.832,0.125,0.044,entailment,Andrew is a receptionist,0.820,0.098,0.082,entailment,0.076,0.030,0.166,0.196
3,Either Beth or Jamie is a banker,Beth is a banker,0.478,0.462,0.060,entailment,Jamie is a banker,0.544,0.299,0.157,entailment,0.326,Either Jamie or Beth is a banker,Beth is a banker,0.436,0.481,0.083,neutral,Jamie is a banker,0.395,0.333,0.272,entailment,0.378,0.085,0.299,0.383
4,Either Amy or Jacob is an author,Amy is an author,0.627,0.175,0.198,entailment,Jacob is an author,0.567,0.248,0.185,entailment,0.147,Either Jacob or Amy is an author,Amy is an author,0.468,0.308,0.224,entailment,Jacob is an author,0.520,0.243,0.237,entailment,0.131,0.318,0.103,0.422
5,Either Tricia or Cole is a barber,Tricia is a barber,0.723,0.225,0.053,entailment,Cole is a barber,0.847,0.116,0.036,entailment,0.249,Either Cole or Tricia is a barber,Tricia is a barber,0.754,0.173,0.073,entailment,Cole is a barber,0.807,0.152,0.041,entailment,0.106,0.103,0.081,0.184
6,Either Dawn or Terrell is an analyst,Dawn is an analyst,0.717,0.261,0.022,entailment,Terrell is an analyst,0.656,0.303,0.041,entailment,0.122,Either Terrell or Dawn is an analyst,Dawn is an analyst,0.715,0.253,0.032,entailment,Terrell is an analyst,0.626,0.326,0.048,entailment,0.177,0.020,0.060,0.080
7,Either Tanisha or Jacob is a baker,Tanisha is a baker,0.760,0.205,0.035,entailment,Jacob is a baker,0.834,0.101,0.064,entailment,0.206,Either Jacob or Tanisha is a baker,Tanisha is a baker,0.693,0.268,0.038,entailment,Jacob is a baker,0.578,0.268,0.154,entailment,0.231,0.134,0.512,0.645
8,Either Phoebe or Ramon is an agent,Phoebe is an agent,0.498,0.365,0.136,entailment,Ramon is an agent,0.749,0.196,0.055,entailment,0.502,Either Ramon or Phoebe is an agent,Phoebe is an agent,0.456,0.405,0.139,entailment,Ramon is an agent,0.744,0.188,0.069,entailment,0.576,0.085,0.027,0.112
9,Either Shiloh or Trevon is a radiologist,Shiloh is a radiologist,0.834,0.105,0.061,entailment,Trevon is a radiologist,0.918,0.060,0.022,entailment,0.168,Either Trevon or Shiloh is a radiologist,Shiloh is a radiologist,0.872,0.096,0.032,entailment,Trevon is a radiologist,0.916,0.059,0.025,entailment,0.086,0.076,0.006,0.082
