,0,1,2,3
0,Neither Carla or Billy is a teacher[SEP]Carla is not a teacher,Neither Carla or Billy is a teacher[SEP]Billy is not a teacher,Neither Billy or Carla is a teacher[SEP]Carla is not a teacher,Neither Billy or Carla is a teacher[SEP]Billy is not a teacher
1,Neither Claire or Brady is a mover[SEP]Claire is not a mover,Neither Claire or Brady is a mover[SEP]Brady is not a mover,Neither Brady or Claire is a mover[SEP]Claire is not a mover,Neither Brady or Claire is a mover[SEP]Brady is not a mover
2,Neither Ebony or Andrew is a receptionist[SEP]Ebony is not a receptionist,Neither Ebony or Andrew is a receptionist[SEP]Andrew is not a receptionist,Neither Andrew or Ebony is a receptionist[SEP]Ebony is not a receptionist,Neither Andrew or Ebony is a receptionist[SEP]Andrew is not a receptionist
3,Neither Beth or Jamie is a banker[SEP]Beth is not a banker,Neither Beth or Jamie is a banker[SEP]Jamie is not a banker,Neither Jamie or Beth is a banker[SEP]Beth is not a banker,Neither Jamie or Beth is a banker[SEP]Jamie is not a banker
4,Neither Amy or Jacob is an author[SEP]Amy is not an author,Neither Amy or Jacob is an author[SEP]Jacob is not an author,Neither Jacob or Amy is an author[SEP]Amy is not an author,Neither Jacob or Amy is an author[SEP]Jacob is not an author
5,Neither Tricia or Cole is a barber[SEP]Tricia is not a barber,Neither Tricia or Cole is a barber[SEP]Cole is not a barber,Neither Cole or Tricia is a barber[SEP]Tricia is not a barber,Neither Cole or Tricia is a barber[SEP]Cole is not a barber
6,Neither Dawn or Terrell is an analyst[SEP]Dawn is not an analyst,Neither Dawn or Terrell is an analyst[SEP]Terrell is not an analyst,Neither Terrell or Dawn is an analyst[SEP]Dawn is not an analyst,Neither Terrell or Dawn is an analyst[SEP]Terrell is not an analyst
7,Neither Tanisha or Jacob is a baker[SEP]Tanisha is not a baker,Neither Tanisha or Jacob is a baker[SEP]Jacob is not a baker,Neither Jacob or Tanisha is a baker[SEP]Tanisha is not a baker,Neither Jacob or Tanisha is a baker[SEP]Jacob is not a baker
8,Neither Phoebe or Ramon is an agent[SEP]Phoebe is not an agent,Neither Phoebe or Ramon is an agent[SEP]Ramon is not an agent,Neither Ramon or Phoebe is an agent[SEP]Phoebe is not an agent,Neither Ramon or Phoebe is an agent[SEP]Ramon is not an agent
9,Neither Shiloh or Trevon is a radiologist[SEP]Shiloh is not a radiologist,Neither Shiloh or Trevon is a radiologist[SEP]Trevon is not a radiologist,Neither Trevon or Shiloh is a radiologist[SEP]Shiloh is not a radiologist,Neither Trevon or Shiloh is a radiologist[SEP]Trevon is not a radiologist
10,Neither Laquisha or Dustin is a builder[SEP]Laquisha is not a builder,Neither Laquisha or Dustin is a builder[SEP]Dustin is not a builder,Neither Dustin or Laquisha is a builder[SEP]Laquisha is not a builder,Neither Dustin or Laquisha is a builder[SEP]Dustin is not a builder
11,Neither Emily or Cody is a mechanic[SEP]Emily is not a mechanic,Neither Emily or Cody is a mechanic[SEP]Cody is not a mechanic,Neither Cody or Emily is a mechanic[SEP]Emily is not a mechanic,Neither Cody or Emily is a mechanic[SEP]Cody is not a mechanic
12,Neither Maggie or Rocco is a CEO[SEP]Maggie is not a CEO,Neither Maggie or Rocco is a CEO[SEP]Rocco is not a CEO,Neither Rocco or Maggie is a CEO[SEP]Maggie is not a CEO,Neither Rocco or Maggie is a CEO[SEP]Rocco is not a CEO
13,Neither Sara or Sheng Lee is a servant[SEP]Sara is not a servant,Neither Sara or Sheng Lee is a servant[SEP]Sheng Lee is not a servant,Neither Sheng Lee or Sara is a servant[SEP]Sara is not a servant,Neither Sheng Lee or Sara is a servant[SEP]Sheng Lee is not a servant
14,Neither Lea or Rocco is an engineer[SEP]Lea is not an engineer,Neither Lea or Rocco is an engineer[SEP]Rocco is not an engineer,Neither Rocco or Lea is an engineer[SEP]Lea is not an engineer,Neither Rocco or Lea is an engineer[SEP]Rocco is not an engineer
15,Neither Cynthia or Chen Wee is a guitarist[SEP]Cynthia is not a guitarist,Neither Cynthia or Chen Wee is a guitarist[SEP]Chen Wee is not a guitarist,Neither Chen Wee or Cynthia is a guitarist[SEP]Cynthia is not a guitarist,Neither Chen Wee or Cynthia is a guitarist[SEP]Chen Wee is not a guitarist
16,Neither Fabioloa or Lars is a groom[SEP]Fabioloa is not a groom,Neither Fabioloa or Lars is a groom[SEP]Lars is not a groom,Neither Lars or Fabioloa is a groom[SEP]Fabioloa is not a groom,Neither Lars or Fabioloa is a groom[SEP]Lars is not a groom
17,Neither Tasha or Jamel is a judge[SEP]Tasha is not a judge,Neither Tasha or Jamel is a judge[SEP]Jamel is not a judge,Neither Jamel or Tasha is a judge[SEP]Tasha is not a judge,Neither Jamel or Tasha is a judge[SEP]Jamel is not a judge
18,Neither Shannon or Vince is a musician[SEP]Shannon is not a musician,Neither Shannon or Vince is a musician[SEP]Vince is not a musician,Neither Vince or Shannon is a musician[SEP]Shannon is not a musician,Neither Vince or Shannon is a musician[SEP]Vince is not a musician
19,Neither Maya or Steven is a theologian[SEP]Maya is not a theologian,Neither Maya or Steven is a theologian[SEP]Steven is not a theologian,Neither Steven or Maya is a theologian[SEP]Maya is not a theologian,Neither Steven or Maya is a theologian[SEP]Steven is not a theologian
20,Neither Molly or John is a librarian[SEP]Molly is not a librarian,Neither Molly or John is a librarian[SEP]John is not a librarian,Neither John or Molly is a librarian[SEP]Molly is not a librarian,Neither John or Molly is a librarian[SEP]John is not a librarian
21,Neither Sue or Mitchell is a detective[SEP]Sue is not a detective,Neither Sue or Mitchell is a detective[SEP]Mitchell is not a detective,Neither Mitchell or Sue is a detective[SEP]Sue is not a detective,Neither Mitchell or Sue is a detective[SEP]Mitchell is not a detective
22,Neither Joanne or Lars is a handball player[SEP]Joanne is not a handball player,Neither Joanne or Lars is a handball player[SEP]Lars is not a handball player,Neither Lars or Joanne is a handball player[SEP]Joanne is not a handball player,Neither Lars or Joanne is a handball player[SEP]Lars is not a handball player
23,Neither Precious or Dustin is an arts[SEP]Precious is not an arts,Neither Precious or Dustin is an arts[SEP]Dustin is not an arts,Neither Dustin or Precious is an arts[SEP]Precious is not an arts,Neither Dustin or Precious is an arts[SEP]Dustin is not an arts
