,text,hypo,entailment,neutral,contradiction
0,Jake is a painter,either Jake or Laquan is a painter,0.20,0.78,0.02
1,Laquan is a painter,either Jake or Laquan is a painter,0.04,0.90,0.06
2,Greg is an aeronautical engineer,either Greg or Jamel is an aeronautical engineer,0.28,0.70,0.02
3,Jamel is an aeronautical engineer,either Greg or Jamel is an aeronautical engineer,0.76,0.22,0.01
4,Cole is a cleaner,either Cole or Ramirez is a cleaner,0.08,0.89,0.03
5,Ramirez is a cleaner,either Cole or Ramirez is a cleaner,0.09,0.72,0.19
6,Hunter is a surgeon,either Hunter or Won Lee is a surgeon,0.05,0.86,0.09
7,Won Lee is a surgeon,either Hunter or Won Lee is a surgeon,0.22,0.72,0.05
8,Cole is a doctor,either Cole or Silas is a doctor,0.20,0.78,0.02
9,Silas is a doctor,either Cole or Silas is a doctor,0.05,0.92,0.03
10,Ronnie is a chef,either Ronnie or Jose is a chef,0.09,0.80,0.11
11,Jose is a chef,either Ronnie or Jose is a chef,0.07,0.61,0.32
12,Cody is a magician,either Cody or Adrin is a magician,0.20,0.76,0.03
13,Adrin is a magician,either Cody or Adrin is a magician,0.11,0.83,0.06
14,Dustin is a plumber,either Dustin or Jesus is a plumber,0.05,0.88,0.07
15,Jesus is a plumber,either Dustin or Jesus is a plumber,0.66,0.32,0.02
16,Ronnie is a cook,either Ronnie or Sudeep is a cook,0.22,0.74,0.04
17,Sudeep is a cook,either Ronnie or Sudeep is a cook,0.12,0.81,0.07
18,Jacob is an author,either Jacob or Terrance is an author,0.22,0.73,0.05
19,Terrance is an author,either Jacob or Terrance is an author,0.11,0.66,0.23
20,Greg is an economist,either Greg or Terrell is an economist,0.21,0.77,0.02
21,Terrell is an economist,either Greg or Terrell is an economist,0.21,0.76,0.03
22,Dylan is a construction worker,either Dylan or Ramon is a construction worker,0.15,0.83,0.02
23,Ramon is a construction worker,either Dylan or Ramon is a construction worker,0.12,0.79,0.09
24,Hunter is an author,either Hunter or Chen Wu is an author,0.06,0.87,0.06
25,Chen Wu is an author,either Hunter or Chen Wu is an author,0.38,0.58,0.04
26,Dustin is an illustrator,either Dustin or Malik is an illustrator,0.08,0.88,0.04
27,Malik is an illustrator,either Dustin or Malik is an illustrator,0.66,0.29,0.05
28,LeShawn is a painter,either LeShawn or Terrance is a painter,0.14,0.81,0.04
29,Terrance is a painter,either LeShawn or Terrance is a painter,0.30,0.57,0.13
30,Cody is a laborer,either Cody or Rajeev is a laborer,0.20,0.76,0.03
31,Rajeev is a laborer,either Cody or Rajeev is a laborer,0.21,0.74,0.05
32,Dustin is an employee,either Dustin or Juan is an employee,0.19,0.74,0.06
33,Juan is an employee,either Dustin or Juan is an employee,0.17,0.63,0.20
34,Cole is a mathematician,either Cole or Gabriel is a mathematician,0.05,0.93,0.02
