,text,hypo,entailment,neutral,contradiction
0,Heather is a laborer,either Heather or Li is a laborer,0.17,0.78,0.05
1,Li is a laborer,either Heather or Li is a laborer,0.07,0.75,0.18
2,Connor is a housekeeper,either Connor or Precious is a housekeeper,0.17,0.81,0.02
3,Precious is a housekeeper,either Connor or Precious is a housekeeper,0.12,0.80,0.09
4,Cadan is a researcher,either Cadan or Javier is a researcher,0.17,0.78,0.05
5,Javier is a researcher,either Cadan or Javier is a researcher,0.32,0.62,0.06
6,Carly is a builder,either Carly or Laquan is a builder,0.27,0.71,0.03
7,Laquan is a builder,either Carly or Laquan is a builder,0.09,0.86,0.04
8,Scott is a businessperson,either Scott or Jamel is a businessperson,0.23,0.75,0.02
9,Jamel is a businessperson,either Scott or Jamel is a businessperson,0.31,0.64,0.05
10,Scott is an executive,either Scott or Kwame is an executive,0.19,0.80,0.01
11,Kwame is an executive,either Scott or Kwame is an executive,0.62,0.37,0.02
12,Katie is an academic,either Katie or Jamel is an academic,0.21,0.77,0.02
13,Jamel is an academic,either Katie or Jamel is an academic,0.06,0.85,0.09
14,Katherine is an astronomer,either Katherine or Tyrone is an astronomer,0.26,0.71,0.03
15,Tyrone is an astronomer,either Katherine or Tyrone is an astronomer,0.09,0.83,0.09
16,Inglethorp is a football player,either Inglethorp or Beyonce is a football player,0.03,0.90,0.07
17,Beyonce is a football player,either Inglethorp or Beyonce is a football player,0.55,0.44,0.01
18,Dylan is a dealer,either Dylan or Lamar is a dealer,0.10,0.86,0.04
19,Lamar is a dealer,either Dylan or Lamar is a dealer,0.09,0.87,0.03
20,Ronnie is an employment,either Ronnie or Chang is an employment,0.04,0.81,0.15
21,Chang is an employment,either Ronnie or Chang is an employment,0.10,0.65,0.25
22,Amy is a delivery,either Amy or Kwame is a delivery,0.18,0.74,0.09
23,Kwame is a delivery,either Amy or Kwame is a delivery,0.11,0.80,0.09
24,Jenna is a poet,either Jenna or Beyonce is a poet,0.04,0.92,0.04
25,Beyonce is a poet,either Jenna or Beyonce is a poet,0.18,0.77,0.05
26,Jack is a psychologist,either Jack or Jesus is a psychologist,0.03,0.92,0.05
27,Jesus is a psychologist,either Jack or Jesus is a psychologist,0.06,0.73,0.21
28,Jenna is a butler,either Jenna or Jorge is a butler,0.08,0.88,0.03
29,Jorge is a butler,either Jenna or Jorge is a butler,0.13,0.81,0.06
30,Brown is a comedian,either Brown or Laquan is a comedian,0.31,0.65,0.04
31,Laquan is a comedian,either Brown or Laquan is a comedian,0.15,0.74,0.11
32,Jake is a nurse,either Jake or Rajeev is a nurse,0.18,0.80,0.02
33,Rajeev is a nurse,either Jake or Rajeev is a nurse,0.07,0.90,0.03
34,Jack is a commander,either Jack or Yang Wang is a commander,0.05,0.93,0.03
35,Yang Wang is a commander,either Jack or Yang Wang is a commander,0.17,0.77,0.06
36,Katie is an athlete,either Katie or Tyresse is an athlete,0.38,0.61,0.01
37,Tyresse is an athlete,either Katie or Tyresse is an athlete,0.08,0.89,0.03
38,Greg is a photographer,either Greg or Chong Ling is a photographer,0.05,0.92,0.02
39,Chong Ling is a photographer,either Greg or Chong Ling is a photographer,0.09,0.87,0.04
40,Connor is a secretary,either Connor or Jamal is a secretary,0.06,0.90,0.05
41,Jamal is a secretary,either Connor or Jamal is a secretary,0.16,0.76,0.08
42,Katie is a director,either Katie or Gabriel is a director,0.05,0.89,0.06
43,Gabriel is a director,either Katie or Gabriel is a director,0.05,0.81,0.15
44,Jake is a mechanic,either Jake or Sheng Lee is a mechanic,0.10,0.88,0.02
45,Sheng Lee is a mechanic,either Jake or Sheng Lee is a mechanic,0.08,0.84,0.07
46,Carly is a model,either Carly or Li is a model,0.06,0.89,0.05
47,Li is a model,either Carly or Li is a model,0.10,0.85,0.06
48,Amy is a tennis player,either Amy or Gabriel is a tennis player,0.07,0.91,0.02
49,Gabriel is a tennis player,either Amy or Gabriel is a tennis player,0.10,0.85,0.05
50,Dustin is a professor,either Dustin or Lamar is a professor,0.06,0.87,0.07
51,Lamar is a professor,either Dustin or Lamar is a professor,0.40,0.55,0.05
52,Molly is a sheriff,either Molly or Terrell is a sheriff,0.12,0.85,0.03
53,Terrell is a sheriff,either Molly or Terrell is a sheriff,0.16,0.77,0.07
54,Craig is an editor,either Craig or Wright is an editor,0.05,0.91,0.03
55,Wright is an editor,either Craig or Wright is an editor,0.31,0.67,0.02
56,Jacob is a diplomat,either Jacob or Jose is a diplomat,0.08,0.86,0.06
57,Jose is a diplomat,either Jacob or Jose is a diplomat,0.04,0.85,0.11
58,Greg is a fireman,either Greg or Wright is a fireman,0.05,0.93,0.02
59,Wright is a fireman,either Greg or Wright is a fireman,0.13,0.85,0.03
60,Essex is a scientist,either Essex or Yang Wang is a scientist,0.03,0.90,0.06
61,Yang Wang is a scientist,either Essex or Yang Wang is a scientist,0.38,0.61,0.01
62,Cadan is a grocer,either Cadan or Ramirez is a grocer,0.15,0.78,0.07
63,Ramirez is a grocer,either Cadan or Ramirez is a grocer,0.28,0.65,0.07
64,Cody is a performing artist,either Cody or Ming is a performing artist,0.18,0.78,0.03
65,Ming is a performing artist,either Cody or Ming is a performing artist,0.19,0.71,0.10
66,Connor is an arts,either Connor or Ramon is an arts,0.08,0.86,0.06
67,Ramon is an arts,either Connor or Ramon is an arts,0.22,0.63,0.15
68,Heather is a prosecutor,either Heather or Raven is a prosecutor,0.13,0.82,0.05
69,Raven is a prosecutor,either Heather or Raven is a prosecutor,0.07,0.81,0.12
70,Abigail is a professor,either Abigail or Juan is a professor,0.16,0.77,0.06
71,Juan is a professor,either Abigail or Juan is a professor,0.22,0.74,0.04
72,Amy is a dentist,either Amy or Yang Wang is a dentist,0.05,0.93,0.02
73,Yang Wang is a dentist,either Amy or Yang Wang is a dentist,0.17,0.80,0.03
74,Jake is a secretary,either Jake or Sheng Lee is a secretary,0.14,0.84,0.02
75,Sheng Lee is a secretary,either Jake or Sheng Lee is a secretary,0.08,0.87,0.05
76,Inglethorp is a hostess,either Inglethorp or Raja is a hostess,0.13,0.76,0.11
