,text,hypo,entailment,neutral,contradiction
0,Hunter is not a politician,Neither Hunter nor Maya is a politician,0.12,0.80,0.08
1,Maya is not a politician,Neither Hunter nor Maya is a politician,0.12,0.77,0.11
2,Jacob is not a painter,Neither Jacob nor Maya is a painter,0.07,0.84,0.08
3,Maya is not a painter,Neither Jacob nor Maya is a painter,0.04,0.87,0.10
4,Jacob is not an army,Neither Jacob nor Bai is an army,0.08,0.87,0.05
5,Bai is not an army,Neither Jacob nor Bai is an army,0.05,0.87,0.08
6,Jacob is not an assistant,Neither Jacob nor Precious is an assistant,0.27,0.60,0.13
7,Precious is not an assistant,Neither Jacob nor Precious is an assistant,0.05,0.82,0.13
8,Jacob is not a broker,Neither Jacob nor Beyonce is a broker,0.03,0.90,0.07
9,Beyonce is not a broker,Neither Jacob nor Beyonce is a broker,0.07,0.70,0.24
10,Cadan is not an army,Neither Cadan nor Tanisha is an army,0.21,0.69,0.10
11,Tanisha is not an army,Neither Cadan nor Tanisha is an army,0.27,0.64,0.08
12,Ronnie is not a surgeon,Neither Ronnie nor Beyonce is a surgeon,0.03,0.90,0.07
13,Beyonce is not a surgeon,Neither Ronnie nor Beyonce is a surgeon,0.10,0.66,0.24
14,Jake is not a plumber,Neither Jake nor Kia is a plumber,0.11,0.84,0.06
15,Kia is not a plumber,Neither Jake nor Kia is a plumber,0.04,0.90,0.06
16,LeShawn is not a clerk,Neither LeShawn nor Tanisha is a clerk,0.23,0.69,0.08
17,Tanisha is not a clerk,Neither LeShawn nor Tanisha is a clerk,0.24,0.45,0.31
18,Connor is not a chief,Neither Connor nor Anita is a chief,0.16,0.75,0.09
19,Anita is not a chief,Neither Connor nor Anita is a chief,0.09,0.79,0.11
20,Jake is not a construction worker,Neither Jake nor Nina is a construction worker,0.15,0.76,0.09
21,Nina is not a construction worker,Neither Jake nor Nina is a construction worker,0.04,0.89,0.07
22,Cole is not a journalist,Neither Cole nor Maya is a journalist,0.12,0.80,0.08
