,prem,hypo1,hypo2,score1,score2,diff
150,Either Jesus or Susie are a landlord,Jesus is a landlord,Susie is a landlord,"{'entailment': '0.15', 'neutral': '0.67', 'contradiction': '0.17'}","{'entailment': '0.55', 'neutral': '0.26', 'contradiction': '0.18'}",0.8200000000000001
41,Either Jesus or Lynn are a hostess,Jesus is a hostess,Lynn is a hostess,"{'entailment': '0.15', 'neutral': '0.58', 'contradiction': '0.26'}","{'entailment': '0.45', 'neutral': '0.24', 'contradiction': '0.31'}",0.69
466,Either Jesus or Tina are an airman,Jesus is an airman,Tina is an airman,"{'entailment': '0.13', 'neutral': '0.76', 'contradiction': '0.11'}","{'entailment': '0.37', 'neutral': '0.42', 'contradiction': '0.21'}",0.68
368,Either Tyrone or Candice are an attendant,Tyrone is an attendant,Candice is an attendant,"{'entailment': '0.75', 'neutral': '0.20', 'contradiction': '0.05'}","{'entailment': '0.41', 'neutral': '0.47', 'contradiction': '0.12'}",0.6799999999999999
401,Either Jorge or Kristy are a realtor,Jorge is a realtor,Kristy is a realtor,"{'entailment': '0.85', 'neutral': '0.11', 'contradiction': '0.04'}","{'entailment': '0.52', 'neutral': '0.38', 'contradiction': '0.10'}",0.66
34,Either Ramon or Anita are an inspector,Ramon is an inspector,Anita is an inspector,"{'entailment': '0.83', 'neutral': '0.11', 'contradiction': '0.05'}","{'entailment': '0.52', 'neutral': '0.37', 'contradiction': '0.12'}",0.6399999999999999
286,Either Josh or Tuppence are an accountant,Josh is an accountant,Tuppence is an accountant,"{'entailment': '0.40', 'neutral': '0.48', 'contradiction': '0.12'}","{'entailment': '0.72', 'neutral': '0.26', 'contradiction': '0.02'}",0.6399999999999999
114,Either Miguel or Lisa are an umpire,Miguel is an umpire,Lisa is an umpire,"{'entailment': '0.67', 'neutral': '0.17', 'contradiction': '0.16'}","{'entailment': '0.36', 'neutral': '0.42', 'contradiction': '0.22'}",0.6200000000000001
190,Either Simon or Tuppence are an army,Simon is an army,Tuppence is an army,"{'entailment': '0.44', 'neutral': '0.42', 'contradiction': '0.14'}","{'entailment': '0.72', 'neutral': '0.24', 'contradiction': '0.05'}",0.5499999999999999
23,Either Tyresse or Emily are a gambler,Tyresse is a gambler,Emily is a gambler,"{'entailment': '0.53', 'neutral': '0.41', 'contradiction': '0.06'}","{'entailment': '0.26', 'neutral': '0.64', 'contradiction': '0.10'}",0.54
16,Either Greg or Jacqui are a teacher,Greg is a teacher,Jacqui is a teacher,"{'entailment': '0.43', 'neutral': '0.45', 'contradiction': '0.12'}","{'entailment': '0.70', 'neutral': '0.21', 'contradiction': '0.09'}",0.54
469,Either Won San Lee or Cheryl are a software engineer,Won San Lee is a software engineer,Cheryl is a software engineer,"{'entailment': '0.88', 'neutral': '0.10', 'contradiction': '0.02'}","{'entailment': '0.62', 'neutral': '0.36', 'contradiction': '0.02'}",0.52
104,Either Lance or Barbara are an employment,Lance is an employment,Barbara is an employment,"{'entailment': '0.74', 'neutral': '0.18', 'contradiction': '0.08'}","{'entailment': '0.48', 'neutral': '0.34', 'contradiction': '0.18'}",0.52
252,Either Shane or Flora are a comedian,Shane is a comedian,Flora is a comedian,"{'entailment': '0.80', 'neutral': '0.15', 'contradiction': '0.05'}","{'entailment': '0.54', 'neutral': '0.37', 'contradiction': '0.09'}",0.52
201,Either Will or Brittany are a barber,Will is a barber,Brittany is a barber,"{'entailment': '0.61', 'neutral': '0.31', 'contradiction': '0.08'}","{'entailment': '0.87', 'neutral': '0.10', 'contradiction': '0.03'}",0.52
36,Either Lawrence or Anne are a professor,Lawrence is a professor,Anne is a professor,"{'entailment': '0.75', 'neutral': '0.14', 'contradiction': '0.10'}","{'entailment': '0.50', 'neutral': '0.38', 'contradiction': '0.13'}",0.52
294,Either Tim or Cheryl are an opera singer,Tim is an opera singer,Cheryl is an opera singer,"{'entailment': '0.35', 'neutral': '0.32', 'contradiction': '0.33'}","{'entailment': '0.61', 'neutral': '0.21', 'contradiction': '0.18'}",0.52
285,Either Fred or Flora are a tailor,Fred is a tailor,Flora is a tailor,"{'entailment': '0.31', 'neutral': '0.60', 'contradiction': '0.09'}","{'entailment': '0.57', 'neutral': '0.36', 'contradiction': '0.07'}",0.5199999999999999
