,0,1,2,3
0,Neither Scott or Won San Lee is a plumber[SEP]Scott is not a plumber,Neither Scott or Won San Lee is a plumber[SEP]Won San Lee is not a plumber,Neither Won San Lee or Scott is a plumber[SEP]Scott is not a plumber,Neither Won San Lee or Scott is a plumber[SEP]Won San Lee is not a plumber
1,Neither Cadan or Wong Chang is an opera singer[SEP]Cadan is not an opera singer,Neither Cadan or Wong Chang is an opera singer[SEP]Wong Chang is not an opera singer,Neither Wong Chang or Cadan is an opera singer[SEP]Cadan is not an opera singer,Neither Wong Chang or Cadan is an opera singer[SEP]Wong Chang is not an opera singer
2,Neither Dylan or Silas is a hairdresser[SEP]Dylan is not a hairdresser,Neither Dylan or Silas is a hairdresser[SEP]Silas is not a hairdresser,Neither Silas or Dylan is a hairdresser[SEP]Dylan is not a hairdresser,Neither Silas or Dylan is a hairdresser[SEP]Silas is not a hairdresser
3,Neither Emily or Ramirez is a poet[SEP]Emily is not a poet,Neither Emily or Ramirez is a poet[SEP]Ramirez is not a poet,Neither Ramirez or Emily is a poet[SEP]Emily is not a poet,Neither Ramirez or Emily is a poet[SEP]Ramirez is not a poet
4,Neither Jacob or Trevon is a cook[SEP]Jacob is not a cook,Neither Jacob or Trevon is a cook[SEP]Trevon is not a cook,Neither Trevon or Jacob is a cook[SEP]Jacob is not a cook,Neither Trevon or Jacob is a cook[SEP]Trevon is not a cook
5,Neither Craig or Chin Pang is a swimmer[SEP]Craig is not a swimmer,Neither Craig or Chin Pang is a swimmer[SEP]Chin Pang is not a swimmer,Neither Chin Pang or Craig is a swimmer[SEP]Craig is not a swimmer,Neither Chin Pang or Craig is a swimmer[SEP]Chin Pang is not a swimmer
6,Neither Cody or Kia is a surgeon[SEP]Cody is not a surgeon,Neither Cody or Kia is a surgeon[SEP]Kia is not a surgeon,Neither Kia or Cody is a surgeon[SEP]Cody is not a surgeon,Neither Kia or Cody is a surgeon[SEP]Kia is not a surgeon
7,Neither Inglethorp or Shaniqua is an inspector[SEP]Inglethorp is not an inspector,Neither Inglethorp or Shaniqua is an inspector[SEP]Shaniqua is not an inspector,Neither Shaniqua or Inglethorp is an inspector[SEP]Inglethorp is not an inspector,Neither Shaniqua or Inglethorp is an inspector[SEP]Shaniqua is not an inspector
8,Neither Carly or Chong Ling is a clerk[SEP]Carly is not a clerk,Neither Carly or Chong Ling is a clerk[SEP]Chong Ling is not a clerk,Neither Chong Ling or Carly is a clerk[SEP]Carly is not a clerk,Neither Chong Ling or Carly is a clerk[SEP]Chong Ling is not a clerk
9,Neither Scott or Terrance is a chef[SEP]Scott is not a chef,Neither Scott or Terrance is a chef[SEP]Terrance is not a chef,Neither Terrance or Scott is a chef[SEP]Scott is not a chef,Neither Terrance or Scott is a chef[SEP]Terrance is not a chef
