,text,hypo,entailment,neutral,contradiction
0,Carly is a nurse,either Carly or Shaniqua is a nurse,0.31,0.66,0.03
1,Shaniqua is a nurse,either Carly or Shaniqua is a nurse,0.09,0.89,0.02
2,Katherine is an artist,either Katherine or Precious is an artist,0.36,0.61,0.03
3,Precious is an artist,either Katherine or Precious is an artist,0.10,0.75,0.15
4,Carly is a handball player,either Carly or Raven is a handball player,0.11,0.87,0.02
5,Raven is a handball player,either Carly or Raven is a handball player,0.23,0.75,0.02
6,Abigail is an assistant,either Abigail or Beyonce is an assistant,0.06,0.88,0.07
7,Beyonce is an assistant,either Abigail or Beyonce is an assistant,0.34,0.61,0.04
8,Katherine is a secretary,either Katherine or Nina is a secretary,0.28,0.67,0.05
9,Nina is a secretary,either Katherine or Nina is a secretary,0.07,0.76,0.18
10,Carly is an editor,either Carly or Ebony is an editor,0.22,0.71,0.07
11,Ebony is an editor,either Carly or Ebony is an editor,0.21,0.69,0.10
12,Heather is an agent,either Heather or Beyonce is an agent,0.06,0.90,0.04
13,Beyonce is an agent,either Heather or Beyonce is an agent,0.14,0.80,0.05
14,Katherine is a pharmacist,either Katherine or Maya is a pharmacist,0.14,0.80,0.06
15,Maya is a pharmacist,either Katherine or Maya is a pharmacist,0.14,0.74,0.13
16,Amy is a magician,either Amy or Precious is a magician,0.25,0.73,0.03
17,Precious is a magician,either Amy or Precious is a magician,0.07,0.72,0.21
18,Amy is a model,either Amy or Kia is a model,0.08,0.89,0.03
19,Kia is a model,either Amy or Kia is a model,0.10,0.81,0.09
20,Jenna is a gambler,either Jenna or Ebony is a gambler,0.18,0.80,0.03
21,Ebony is a gambler,either Jenna or Ebony is a gambler,0.09,0.84,0.07
22,Claire is a lifeguard,either Claire or Ebony is a lifeguard,0.23,0.73,0.04
23,Ebony is a lifeguard,either Claire or Ebony is a lifeguard,0.21,0.74,0.05
24,Katie is a journalist,either Katie or Bai is a journalist,0.11,0.87,0.02
25,Bai is a journalist,either Katie or Bai is a journalist,0.06,0.86,0.07
26,Katherine is a prosecutor,either Katherine or Nina is a prosecutor,0.41,0.55,0.05
