,prem,hypo_1,entailment_1,neutral_1,contradiction_1,pred_1,hypo_2,entailment_2,neutral_2,contradiction_2,pred_2,diff,prem-rev,hypo3_,entailment_3,neutral_3,contradiction_3,pred_3,hypo_4,entailment_4,neutral_4,contradiction_4,pred_4,diff-rev,name1_gap,name2_gap,gap
0,Neither Scott or Won San Lee is a plumber,Scott is not a plumber,0.890,0.099,0.011,entailment,Won San Lee is not a plumber,0.831,0.096,0.073,entailment,0.124,Neither Won San Lee or Scott is a plumber,Scott is not a plumber,0.858,0.090,0.052,entailment,Won San Lee is not a plumber,0.809,0.089,0.102,entailment,0.100,0.082,0.057,0.139
1,Neither Cadan or Wong Chang is an opera singer,Cadan is not an opera singer,0.859,0.099,0.042,entailment,Wong Chang is not an opera singer,0.889,0.065,0.046,entailment,0.069,Neither Wong Chang or Cadan is an opera singer,Cadan is not an opera singer,0.850,0.096,0.054,entailment,Wong Chang is not an opera singer,0.879,0.076,0.045,entailment,0.058,0.024,0.023,0.047
2,Neither Dylan or Silas is a hairdresser,Dylan is not a hairdresser,0.908,0.062,0.029,entailment,Silas is not a hairdresser,0.777,0.106,0.117,entailment,0.263,Neither Silas or Dylan is a hairdresser,Dylan is not a hairdresser,0.886,0.060,0.054,entailment,Silas is not a hairdresser,0.839,0.082,0.079,entailment,0.094,0.049,0.123,0.173
3,Neither Emily or Ramirez is a poet,Emily is not a poet,0.827,0.130,0.044,entailment,Ramirez is not a poet,0.739,0.133,0.127,entailment,0.174,Neither Ramirez or Emily is a poet,Emily is not a poet,0.776,0.133,0.091,entailment,Ramirez is not a poet,0.763,0.121,0.116,entailment,0.050,0.101,0.046,0.147
4,Neither Jacob or Trevon is a cook,Jacob is not a cook,0.906,0.079,0.015,entailment,Trevon is not a cook,0.863,0.102,0.035,entailment,0.086,Neither Trevon or Jacob is a cook,Jacob is not a cook,0.882,0.087,0.032,entailment,Trevon is not a cook,0.882,0.101,0.017,entailment,0.030,0.049,0.038,0.087
5,Neither Craig or Chin Pang is a swimmer,Craig is not a swimmer,0.847,0.125,0.028,entailment,Chin Pang is not a swimmer,0.832,0.095,0.073,entailment,0.091,Neither Chin Pang or Craig is a swimmer,Craig is not a swimmer,0.853,0.099,0.048,entailment,Chin Pang is not a swimmer,0.857,0.087,0.055,entailment,0.024,0.051,0.051,0.103
6,Neither Cody or Kia is a surgeon,Cody is not a surgeon,0.791,0.136,0.073,entailment,Kia is not a surgeon,0.658,0.121,0.221,entailment,0.296,Neither Kia or Cody is a surgeon,Cody is not a surgeon,0.781,0.126,0.093,entailment,Kia is not a surgeon,0.771,0.118,0.112,entailment,0.037,0.040,0.225,0.266
7,Neither Inglethorp or Shaniqua is an inspector,Inglethorp is not an inspector,0.839,0.114,0.047,entailment,Shaniqua is not an inspector,0.815,0.072,0.112,entailment,0.130,Neither Shaniqua or Inglethorp is an inspector,Inglethorp is not an inspector,0.775,0.121,0.104,entailment,Shaniqua is not an inspector,0.901,0.070,0.028,entailment,0.251,0.127,0.172,0.298
8,Neither Carly or Chong Ling is a clerk,Carly is not a clerk,0.776,0.159,0.065,entailment,Chong Ling is not a clerk,0.804,0.111,0.085,entailment,0.096,Neither Chong Ling or Carly is a clerk,Carly is not a clerk,0.724,0.142,0.134,entailment,Chong Ling is not a clerk,0.819,0.100,0.080,entailment,0.190,0.137,0.031,0.169
9,Neither Scott or Terrance is a chef,Scott is not a chef,0.878,0.065,0.057,entailment,Terrance is not a chef,0.837,0.107,0.056,entailment,0.084,Neither Terrance or Scott is a chef,Scott is not a chef,0.858,0.065,0.077,entailment,Terrance is not a chef,0.871,0.087,0.042,entailment,0.071,0.041,0.067,0.108
10,Neither Dustin or Chan is a clerk,Dustin is not a clerk,0.887,0.081,0.033,entailment,Chan is not a clerk,0.763,0.135,0.102,entailment,0.247,Neither Chan or Dustin is a clerk,Dustin is not a clerk,0.852,0.089,0.059,entailment,Chan is not a clerk,0.819,0.110,0.071,entailment,0.067,0.069,0.112,0.181
11,Neither Cole or Diamond is an engineer,Cole is not an engineer,0.847,0.111,0.042,entailment,Diamond is not an engineer,0.812,0.129,0.059,entailment,0.072,Neither Diamond or Cole is an engineer,Cole is not an engineer,0.806,0.118,0.075,entailment,Diamond is not an engineer,0.858,0.095,0.047,entailment,0.103,0.083,0.092,0.175
12,Neither Jack or Won Lee is an employee,Jack is not an employee,0.820,0.109,0.071,entailment,Won Lee is not an employee,0.725,0.132,0.143,entailment,0.191,Neither Won Lee or Jack is an employee,Jack is not an employee,0.740,0.153,0.107,entailment,Won Lee is not an employee,0.806,0.087,0.107,entailment,0.132,0.160,0.162,0.322
13,Neither Essex or Feng Wu is a radiologist,Essex is not a radiologist,0.905,0.074,0.021,entailment,Feng Wu is not a radiologist,0.674,0.056,0.270,entailment,0.498,Neither Feng Wu or Essex is a radiologist,Essex is not a radiologist,0.851,0.077,0.072,entailment,Feng Wu is not a radiologist,0.866,0.058,0.077,entailment,0.039,0.108,0.386,0.494
14,Neither Katie or Marquis is a gambler,Katie is not a gambler,0.851,0.121,0.028,entailment,Marquis is not a gambler,0.789,0.138,0.073,entailment,0.125,Neither Marquis or Katie is a gambler,Katie is not a gambler,0.849,0.116,0.035,entailment,Marquis is not a gambler,0.854,0.122,0.024,entailment,0.024,0.014,0.132,0.146
15,Neither LeShawn or Ragesh is an aeronautical engineer,LeShawn is not an aeronautical engineer,0.784,0.099,0.117,entailment,Ragesh is not an aeronautical engineer,0.681,0.116,0.203,entailment,0.206,Neither Ragesh or LeShawn is an aeronautical engineer,LeShawn is not an aeronautical engineer,0.759,0.110,0.130,entailment,Ragesh is not an aeronautical engineer,0.747,0.111,0.143,entailment,0.026,0.050,0.131,0.181
16,Neither Greg or Won San Lee is an engineer,Greg is not an engineer,0.845,0.129,0.026,entailment,Won San Lee is not an engineer,0.845,0.083,0.072,entailment,0.093,Neither Won San Lee or Greg is an engineer,Greg is not an engineer,0.784,0.123,0.093,entailment,Won San Lee is not an engineer,0.793,0.095,0.113,entailment,0.057,0.134,0.105,0.239
17,Neither Scott or Chen Lang is an author,Scott is not an author,0.893,0.055,0.052,entailment,Chen Lang is not an author,0.808,0.081,0.111,entailment,0.170,Neither Chen Lang or Scott is an author,Scott is not an author,0.826,0.073,0.100,entailment,Chen Lang is not an author,0.881,0.052,0.067,entailment,0.109,0.133,0.145,0.279
18,Neither Brown or Precious is a janitor,Brown is not a janitor,0.885,0.086,0.029,entailment,Precious is not a janitor,0.811,0.082,0.107,entailment,0.156,Neither Precious or Brown is a janitor,Brown is not a janitor,0.793,0.109,0.098,entailment,Precious is not a janitor,0.907,0.060,0.033,entailment,0.228,0.184,0.193,0.377
19,Neither Inglethorp or Beyonce is a lawn mower,Inglethorp is not a lawn mower,0.884,0.090,0.027,entailment,Beyonce is not a lawn mower,0.869,0.074,0.057,entailment,0.060,Neither Beyonce or Inglethorp is a lawn mower,Inglethorp is not a lawn mower,0.873,0.089,0.039,entailment,Beyonce is not a lawn mower,0.934,0.056,0.010,entailment,0.123,0.024,0.130,0.154
20,Neither Brown or Treyvone is a sheriff,Brown is not a sheriff,0.809,0.108,0.083,entailment,Treyvone is not a sheriff,0.765,0.098,0.137,entailment,0.108,Neither Treyvone or Brown is a sheriff,Brown is not a sheriff,0.658,0.113,0.228,entailment,Treyvone is not a sheriff,0.849,0.086,0.065,entailment,0.381,0.301,0.168,0.469
