was,1148
are,436
had,255
be,184
have,180
is,172
were,168
did,143
do,142
's,113
get,92
being,85
got,83
made,76
know,70
make,64
went,60
said,60
go,59
been,56
felt,56
told,55
saw,54
wanted,52
knew,52
looked,50
take,42
came,42
see,40
took,38
think,38
want,38
thought,34
afford,34
work,32
looking,32
like,30
play,30
loved,30
called,29
care,28
known,28
spent,28
found,26
going,26
has,25
'm,24
getting,24
feel,24
decided,24
're,24
love,22
put,22
hated,22
look,22
find,22
help,22
need,22
let,21
working,21
drive,20
ran,20
shot,20
picked,20
read,20
buy,18
doing,18
try,18
understand,18
having,18
believe,18
allowed,17
stole,17
started,16
asked,16
became,16
taking,16
use,16
turned,16
heard,16
live,16
kept,16
learned,15
used,15
stand,14
coming,14
steal,14
worked,14
broke,14
met,14
left,14
walked,14
become,14
hire,14
cried,14
stay,14
laughed,14
figure,12
say,12
playing,12
done,12
commit,12
lived,12
tell,12
stopped,12
leave,12
come,12
trying,12
eating,12
follow,12
needed,11
sitting,11
acting,11
grabbed,10
listen,10
gave,10
tend,10
give,10
breaking,10
raised,10
watched,10
seen,10
run,10
beat,10
waiting,10
living,10
won,10
wants,10
opened,10
stop,10
noticed,10
pushed,10
pay,10
show,10
does,10
screamed,10
am,10
lost,10
calling,10
call,9
learn,9
stealing,9
considered,9
tried,8
loves,8
move,8
struggled,8
knowing,8
woke,8
comes,8
jumped,8
wished,8
arrived,8
trust,8
born,8
showed,8
liked,8
walking,8
avoid,8
serve,8
figured,8
swim,8
wear,8
ride,8
ask,8
apply,8
collected,8
selling,8
thinking,8
defend,8
sit,8
treat,8
filled,8
knows,8
fix,8
hold,8
held,8
cared,8
played,8
wearing,8
keeping,8
ate,8
fighting,7
arrested,7
stolen,7
given,7
growing,6
attacked,6
feeling,6
reading,6
sighed,6
wait,6
keep,6
injured,6
saying,6
stuck,6
robbed,6
owned,6
grew,6
driving,6
cause,6
fired,6
enter,6
eat,6
dropped,6
appeared,6
fell,6
visit,6
drink,6
pick,6
using,6
control,6
caught,6
Do,6
study,6
shoot,6
jump,6
hurt,6
paying,6
hit,6
lose,6
teach,6
engage,6
killed,6
enjoyed,6
running,6
cut,6
moved,6
treated,6
draw,6
expected,6
spend,6
drove,6
wore,6
ignored,6
refused,6
realized,6
end,6
cooking,6
watching,6
sell,6
telling,6
began,6
expect,6
talking,6
dreamed,6
marry,6
protect,6
crying,6
deal,6
carry,6
hate,6
helped,5
worry,5
change,5
meet,5
Being,5
challenged,5
stick,4
turning,4
muttered,4
showing,4
dance,4
building,4
cook,4
build,4
dominate,4
allow,4
abandoned,4
quit,4
built,4
practicing,4
murdered,4
leaving,4
earn,4
hid,4
dealing,4
inviting,4
ordered,4
’s,4
finished,4
bother,4
married,4
tackled,4
clutched,4
burning,4
cooked,4
complete,4
fearing,4
mowed,4
host,4
beaten,4
buying,4
wondered,4
marrying,4
turn,4
lock,4
fried,4
traveling,4
pulled,4
wish,4
received,4
ignore,4
stepped,4
sleeping,4
headed,4
belonged,4
've,4
shouted,4
works,4
stabbed,4
sneaked,4
sold,4
dated,4
speak,4
catch,4
continue,4
forgot,4
suspected,4
sat,4
paid,4
shopping,4
followed,4
failed,4
talk,4
respond,4
fought,4
explained,4
offering,4
making,4
promised,4
start,4
stated,4
handle,4
asking,4
bring,4
offered,4
liking,4
wash,4
served,4
hosted,4
smelled,4
beg,4
clean,4
laid,4
begin,4
stayed,4
deserve,4
watch,4
broken,4
helping,4
shocked,4
bought,4
putting,4
swung,4
insisted,4
win,4
learning,4
lifted,4
plowing,4
looks,4
raise,4
gossiping,4
dressed,4
punched,4
becoming,4
hunt,4
relied,4
escape,4
feared,4
flirt,4
complain,4
burst,4
faking,4
save,4
slept,4
missed,4
hurting,4
stare,4
seem,4
wake,4
smell,4
screaming,4
giving,4
pretended,4
pronounce,4
hide,4
molest,4
performed,4
admit,4
imagined,4
Is,4
needs,4
kiss,4
surprised,4
makes,4
missing,4
singled,4
fit,4
warned,4
passed,4
sleep,4
remembering,4
handling,4
didnt,3
cheered,3
worried,3
challenge,3
waste,3
sprawled,2
slanted,2
forced,2
interpret,2
examine,2
squealing,2
cares,2
punching,2
kicking,2
says,2
marginalized,2
wishes,2
vote,2
honored,2
decipher,2
reported,2
own,2
spare,2
understanding,2
admitted,2
write,2
convicted,2
dancing,2
admired,2
tick,2
awoke,2
induced,2
flew,2
registered,2
rot,2
satisfy,2
directing,2
fitted,2
shoplift,2
increasing,2
choose,2
oppressing,2
rob,2
trim,2
avoided,2
'd,2
excited,2
slamming,2
ordering,2
spoken,2
named,2
score,2
discovered,2
recovering,2
step,2
reared,2
takes,2
hear,2
tampered,2
