,name,gender,race,count
6,Tuppence,female,none,1723
13,Lou,female,none,1179
20,Mary,female,none,979
24,Lea,female,none,914
38,Jane,female,none,600
41,Susan,female,none,540
50,Monica,female,none,398
57,Cynthia,female,none,333
60,Vrenna,female,none,320
61,Jen,female,none,304
62,Anne,female,none,296
80,Sara,female,none,196
83,Shiloh,female,none,191
86,Shannon,female,none,177
89,Bai,female,asian,169
94,Anna,female,none,151
103,Paula,female,none,115
106,Marie,female,none,111
112,Beth,female,none,100
113,Brittany,female,none,94
116,Kelly,female,none,92
117,Janet,female,none,91
120,Emily,female,white,83
121,Julie,female,none,83
122,Martha,female,none,83
125,Joyce,female,none,81
126,Betty,female,none,78
127,Lisa,female,none,76
132,Barbara,female,none,71
136,Raven,female,black,66
137,Craig,female,white,65
138,Laura,female,none,64
139,Sue,female,none,62
140,Amy,female,white,60
141,Tina,female,none,58
142,Grace,female,none,57
144,Joan,female,none,54
145,Candy,female,none,53
146,Diamond,female,black,53
147,Judy,female,none,52
148,Wendy,female,none,52
150,Sharon,female,none,51
152,Lucy,female,none,49
155,Sarah,female,none,48
162,Maya,female,latinx,45
163,Ellen,female,none,44
166,Jennifer,female,none,41
167,Carrie,female,none,40
172,Sally,female,none,39
176,Katherine,female,white,34
180,Liz,female,none,32
182,Veronica,female,none,32
186,Patricia,female,none,31
188,Cindy,female,none,30
191,Kate,female,none,30
192,Lynn,female,none,30
195,Edith,female,none,27
196,Carly,female,white,25
202,Kathy,female,none,24
205,Precious,female,black,23
207,Ruby,female,none,22
208,Anita,female,latinx,21
213,Benny,female,none,19
214,Heather,female,white,19
216,Naomi,female,none,19
217,Rachel,female,none,19
219,Nia,female,none,18
221,Sherry,female,none,18
223,Ashley,female,none,15
226,Jill,female,none,15
228,Molly,female,white,15
230,Roberta,female,none,15
234,Dawn,female,none,14
235,Brenda,female,none,13
236,Melissa,female,none,13
237,Candace,female,none,12
238,Cathy,female,none,12
239,Jenny,female,none,12
240,Kassandra,female,none,12
244,Claire,female,white,10
245,Maggie,female,none,10
248,Flora,female,none,9
249,Greta,female,none,9
250,Kia,female,black,9
253,Olga,female,none,9
255,Becky,female,none,8
259,Shelly,female,none,7
262,Camille,female,none,6
263,Carla,female,none,6
264,Cheryl,female,none,6
266,Megan,female,none,6
267,Phoebe,female,none,6
271,Jenna,female,white,5
272,Nina,female,latinx,5
273,Lara,female,none,4
274,Lena,female,none,4
279,Katie,female,white,3
280,Lily,female,none,3
281,Marianne,female,none,3
285,Susie,female,none,3
